tier,name,city,state,phone,website,glow_score,review_count,contact_name,contact_email,contact_title
Tier 1,"Honey Skincare Studio - Medical Spa",Arlington,VA,(703) 991-2705,http://www.honeyskincarestudio.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb,5,581,,,
Tier 1,"Divine Plastic Surgery",Miami Lakes,FL,(305) 697-0911,https://divineplasticsurgery.com/?utm_campaign=gmb,5,581,,,
Tier 1,"Skin NV Tampa Med Spa",Tampa,,(813) 839-4141,http://www.skinnv.com/,5,581,,,
Tier 1,"AestheticsMD by Jean Rhee Upper East Side",New York City,NY,(212) 933-4001,https://www.aestheticsmd.co/,5,579,,,
Tier 1,"Impact Glamour Med Spa | Lashes | Brows",Miami Gardens,FL,(786) 604-3595,https://www.vagaro.com/impactglamour/services,5,574,,,
Tier 1,"Cienega Medical - Santa Monica",Santa Monica,CA,(310) 341-2741,https://cienegaspa.com/,5,571,,,
Tier 1,"The Beauty Clinic",Fort Lauderdale,,(954) 719-7123,http://thebeautyclinic.com/,5,568,,,
Tier 1,"VIVE Med Spa",Denver,CO,(720) 698-3327,https://www.vivemedspadenver.com/,5,558,,,
Tier 1,"Purity Spa Med",Arlington,VA,(703) 243-4242,http://purityspamed.com/,5,557,,,
Tier 1,"Nude Aesthetics Med Spa Scottsdale",Scottsdale,AZ,(623) 278-8252,https://www.nude-aesthetics.com/,5,555,,,
Tier 1,"Charette Cosmetics Medical Spa - Miami Beach",Miami Beach,FL,(404) 430-4378 ext. 3,https://charettecosmetics.com/miami/?utm_source=google&utm_medium=organic&utm_campaign=GBPMiami,5,554,,,
Tier 1,"Dolce Medical Spa - Old Town",Scottsdale,AZ,(480) 470-6737,http://dolcemedicalspas.com/,5,554,,,
Tier 1,"Evolving Aesthetics",Orlando,,(407) 784-4022,https://www.evolvingaesthetics.com/,5,553,,,
Tier 1,"Alive and Well Community Partners",Miami Gardens,FL,(800) 434-1366,https://www.aliveandwellprogram.com/,5,551,,,
Tier 1,"Chinitas Beauty",Miami Lakes,FL,(954) 990-9078,https://www.chinitasbydailyn.com/chinitasbeautyandeyebrowspa,5,546,,,
Tier 1,"Exotica Skin Care",Henderson,NV,(702) 461-6653,http://www.exoticaskincare.com/,5,543,,,
Tier 1,"Skin by Lovely",Santa Monica,CA,(877) 568-3594,https://www.skinbylovely.com/,5,541,,,
Tier 1,"Elysium Aesthetics + Longevity",Chicago,IL,(312) 888-9361,https://elysiumchicago.com/?utm_source=google&utm_medium=localsearch&utm_campaign=gmb,5,531,,,
Tier 1,"NakedMD Med Spa Nashville",Nashville,TN,(615) 988-8375,https://www.nakedmd.com/pages/med-spa-nashville-tn,5,530,,,
Tier 1,"Barehandspa LLC",Davie,FL,(954) 446-9392,https://www.barehandspa.com/,5,528,,,
Tier 1,"The Perfect Secret Med Spa",Scottsdale,AZ,(480) 647-8991,https://www.itstheperfectsecret.com/,5,527,,,
Tier 1,"Tru Beauty by Trevor",Henderson,NV,(702) 852-3110,https://trubeautybytrevor.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,5,527,,,
Tier 1,"Care Wellness Center",Margate,FL,(954) 586-8088,http://www.carewellnesscenter.com/,5,520,,,
Tier 1,"Khouri Dermatology",Key Biscayne,FL,(305) 361-8200,http://www.khouridermatology.com/,5,518,,,
Tier 1,"Flawless Faces MedSpa Chandler Botox, Lip Fillers And Laser Hair Removal",Chandler,AZ,(602) 622-7000,https://flawlessfacesaz.com/,5,516,,,
Tier 1,"Suncoast Skin Solutions",Jupiter,FL,(561) 962-1955,https://www.suncoastskin.com/locations-jupiter-fl/,5,515,,,
Tier 1,"Double J Medical Aesthetics and Hair Clinic",Los Angeles,CA,(213) 808-7780,https://www.doublejaesthetics.com/,5,514,,,
Tier 1,"Wild and Beautiful Natural Aesthetics",Austin,TX,(512) 579-0899,https://www.wildandbeautifulaustin.com/?utm_source=GMBmain&utm_medium=organic,5,513,,,
Tier 1,"4Ever Young Anti-Aging & Wellness Center",Orlando,,(407) 698-3141,https://4everyoungantiaging.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-orlando-lake-ivanhoe,5,511,,,
Tier 1,"ZONA MED SPA",Scottsdale,AZ,(480) 299-4975,http://www.zonamedspa.com/,5,509,,,
Tier 1,"ZONA MED SPA",Tempe,AZ,(480) 299-4975,http://www.zonamedspa.com/,5,509,,,
Tier 1,"Aesthetic Surgery & Dermatology of Cherry Creek",Denver,CO,(303) 333-6060,https://www.adriennestewartmd.com/,5,509,,,
Tier 1,"NakedMD Med Spa Dallas",Dallas,TX,(972) 587-0608,https://www.nakedmd.com/pages/med-spa-dallas-tx,5,504,,,
Tier 1,"Tao Spa Miami",Miami Beach,FL,(786) 216-7200,https://taospamiami.com/,5,503,,,
Tier 1,"Bella Santé Day Spa & Med Spa – Boston",Boston,MA,(617) 424-9930,https://bellasante.com/?utm_source=GMB_boston&utm_medium=organic,5,502,,,
Tier 1,"Bella MedSpa - Dallas MedSpa",Dallas,TX,(972) 762-4636,http://www.bellamedspadfw.com/,5,501,,,
Tier 1,"Clinical Dermatology Center",Arlington,VA,(703) 936-7115,https://clinicaldermatologycenter.com/,5,498,,,
Tier 1,"Viva La Med Spa-Old Town",Chicago,IL,(312) 971-5915,http://vivalamedspa.com/,5,496,,,
Tier 1,"Imperial Dermatology",Davie,FL,(954) 516-0722,https://imperial-derm.com/?utm_source=google&utm_medium=localsearch&utm_campaign=gmb,5,496,,,
Tier 1,"Pler Clinics",North Miami Beach,FL,(877) 900-7537,http://www.pler.com/,5,494,,,
Tier 1,"Azure Dream Spa",Arlington,VA,(703) 243-4343,https://azuredreamspa.com/,5,494,,,
Tier 1,"Pler Clinics",North Miami,FL,(877) 900-7537,http://www.pler.com/,5,494,,,
Tier 1,"NakedMD Med Spa Phoenix",Phoenix,AZ,(602) 461-8883,https://www.nakedmd.com/pages/nakedmd-phoenix-az,5,493,,,
Tier 1,"MEDICTECH SPA - MED SPA",San Antonio,TX,(210) 972-8685,https://www.medictechspa.com/,5,492,,,
Tier 1,"Natural Body Spa + Med Spa | Alpharetta",Alpharetta,GA,(678) 866-3663,https://www.naturalbody.com/spa-locations/georgia-alpharetta,5,488,,,
Tier 1,"Aesthetic Center for Plastic Surgery & MedSpa (ACPS)",Houston,TX,(713) 799-9999,https://www.mybeautifulbody.com/?utm_source=google&utm_medium=local&utm_campaign=houston4400-practice-website,5,487,,,
Tier 1,"NakedMD Med Spa Beverly Hills",Beverly Hills,CA,(424) 285-0886,https://www.nakedmd.com/pages/locations-beverly-hills-ca,5,485,,,
Tier 1,"ImageLab Med Spa",Chicago,IL,(872) 285-6769,http://www.imagelabmedspa.com/?y_source=1_MTAwNDc5NDI3NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,5,483,,,
Tier 1,"Lecada Medical Artistry",Tampa,,(813) 874-2332,http://www.lecadatampa.com/,5,474,,,
Tier 1,"Botoxie - North Park",San Diego,CA,(619) 493-2645,https://www.botoxie.co/?utm_source=google&utm_medium=organic&utm_campaign=gbp,5,473,,,
Tier 1,"The Ageless Center",Buckhead,GA,(404) 666-9495,https://www.theagelesscenter.com/,5,471,,,
Tier 1,"The Ageless Center",Atlanta,GA,(404) 666-9495,https://www.theagelesscenter.com/,5,471,,,
Tier 1,"Perfect Skin Center",Tempe,AZ,(480) 897-3623,https://perfectskincenter.com/?utm_source=gbp&utm_medium=organic,5,470,,,
Tier 1,"Khronos MedSpa & Laser",San Antonio,TX,(210) 842-7758,http://www.khronosmedspa.com/,5,466,,,
Tier 1,"RESTOR Medical Spa | Central Park",Denver,CO,(720) 388-6244,https://www.restormedicalspa.com/?utm_medium=organic&utm_source=gmblisting&utm_campaign=cp,5,464,,,
Tier 1,"Youthtopia Med Spa",Alpharetta,GA,(770) 637-0428,http://youthtopiamedspa.com/,5,460,,,
Tier 1,"Allure Infinite Beauty",Tempe,AZ,(480) 831-7109,https://allurepc.com/,5,458,,,
Tier 1,"SKINNEY Medspa",New York City,NY,(646) 212-2316,https://skinneymedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-flagship-nyc,5,454,,,
Tier 1,"Skinfinity Spa",Columbus,OH,(380) 246-3284,https://skinfinityspaco.com/,5,453,,,
Tier 1,"dermani MEDSPA® Preston Hollow",Dallas,TX,(214) 753-8650,https://dermanimedspa.com/preston-hollow-dallas-tx/,5,451,,,
Tier 1,"Spavia Day Spa - Estero",Estero,FL,(239) 900-1211,https://esterofl.spaviadayspa.com/,5,451,,,
Tier 1,"Caribbean Mystique Massage & Wellness Spa",Tampa,,(813) 333-4700,https://caribbeanmystiquespa.com/,5,451,,,
Tier 1,"Modern Aesthetic Centers - Gate Parkway",Jacksonville,,(904) 928-9400,https://www.macflorida.com/,5,448,,,
Tier 1,"Optimal Wellness",Naples,FL,(239) 360-6253,https://www.optimalwellnessnaples.com/,5,448,,,
Tier 1,"OVME",Buckhead,GA,(770) 504-6000,https://ovme.com/pages/buckhead-atlanta-ga,5,447,,,
Tier 1,"Skin Wellness Physicians",Naples,FL,(239) 732-0044,https://www.skinwellnessflorida.com/?utm_source=Google%20My%20Business&utm_medium=Organic,5,446,,,
Tier 1,"Skin Savvy Aesthetics Med Spa",Scottsdale,AZ,(480) 485-0682,https://skinsavvyaesthetics.com/,5,445,,,
Tier 1,"Skin Artisans at Edina Plastic Surgery",Minneapolis,MN,(952) 592-6022,https://skinartisans.com/,5,445,,,
Tier 1,"Balanced Aesthetics + Wellness",Atlanta,GA,(470) 226-2390,https://balancedaestheticsmedspa.com/,5,444,,,
Tier 1,"Peachy East Austin",Austin,TX,(512) 691-5704,https://peachystudio.com/,5,443,,,
Tier 1,"Hand & Stone Massage and Facial Spa",Estero,FL,(239) 999-6564,https://handandstone.com/locations/estero-corkscrew-village/?utm_source=google&utm_medium=organic&utm_campaign=businesslisting,5,439,,,
Tier 1,"Hatef Aesthetics & Plastic Surgery",Nashville,TN,(615) 678-6273,http://hatefaesthetics.com/,5,437,,,
Tier 1,"Seattle Beauty",Seattle,WA,(206) 712-5654,https://seattlebeauty.org/,5,437,,,
Tier 1,"Hi Beautiful Aesthetics",Houston,TX,(281) 846-6895,http://www.hibeautifulaesthetics.com/,5,436,,,
Tier 1,"Dream Aesthetics Medspa",Houston,TX,(281) 846-6454,https://www.dreamhoustonmedspa.com/,5,436,,,
Tier 1,"Relive Wellington",Wellington,FL,(561) 360-3520,https://relivewellington.com/,5,434,,,
Tier 1,"dermani MEDSPA® Vinings",Atlanta,GA,(770) 884-8102,https://dermanimedspa.com/vinings-ga/,5,433,,,
Tier 1,"NakedMD Med Spa Santa Monica",Santa Monica,CA,(424) 228-9778,https://www.nakedmd.com/pages/locations-santa-monica-ca,5,431,,,
Tier 1,"Rescue Spa",Philadelphia,PA,(866) 772-2766,https://www.rescuespa.com/,5,430,,,
Tier 1,"NATURA Hair Removal & Skin Care | Kendall",Miami,FL,(786) 254-7796,https://naturaspa.com/kendall/,5,428,,,
Tier 1,"ÉLAN Aesthetics",Tampa,,(813) 440-8743,http://elan-aesthetics.com/,5,428,,,
Tier 1,"Sisu Clinic Houston",Houston,TX,(346) 701-5029,http://www.sisuclinic.com/,5,427,,,
Tier 1,"Beauty Studio by Tatiana",Naples,FL,(239) 300-0920,https://beautybrowstudio.com/,5,424,,,
Tier 1,"Amir Shariati, MD",Coconut Creek,FL,(954) 570-7644,https://hcafloridaphysicians.com/physicians/profile/Dr-Amir-Shariati-MD?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,5,421,,,
Tier 1,"Erasable Med Spa",Tampa,,(813) 333-9971,https://erasablemedspa.com/,5,419,,,
Tier 1,"BLUE Med Center & Spa",Atlanta,GA,(404) 815-8880,http://www.bluemedcenter.com/,5,417,,,
Tier 1,"Brickell Cosmetic Center-Aesthetics & Dermatology",Miami,,(305) 456-6001,https://brickellcosmetic.com/,5,417,,,
Tier 1,"Cell Renew Medical Spa Downtown",Tampa,,(813) 600-0666,https://www.cellrenewtampa.com/,5,417,,,
Tier 1,"Glow Medspa Houston",Houston,TX,(346) 478-7600,https://glowmedspa.com/laser-treatments-med-spa-services-in-houston-tx/,5,416,,,
Tier 1,"Spa Black",San Antonio,TX,(210) 460-3865,http://www.spablack.com/,5,415,,,
Tier 1,"Skin Medical Spa in San Diego | Skin Tightening | Cryo Fat Freezing | Lipo Cavitation",San Diego,CA,(858) 203-3422,https://skinmedicalsd.com/,5,415,,,
Tier 1,"Xtreme Beauty Salon",Miami,FL,(305) 235-7702,https://xtremebeautysalon.com/,5,414,,,
Tier 1,"Las Olas Med Spa",Fort Lauderdale,,(954) 906-3373,https://www.topaesthetics.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb-medspa,5,412,,,
Tier 1,"LA Medical Associates",Lake Worth,FL,(561) 433-5577,https://www.lamedicalpb.com/,5,410,,,
Tier 1,"NakedMD Med Spa Henderson",Henderson,NV,(702) 483-8184,https://www.nakedmd.com/pages/med-spa-henderson-nv,5,409,,,
Tier 1,"dermani MEDSPA® Buckhead",Buckhead,GA,(770) 847-8230,https://dermanimedspa.com/buckhead-atlanta-ga/,5,408,,,
Tier 1,"dermani MEDSPA® Buckhead",Atlanta,GA,(770) 847-8230,https://dermanimedspa.com/buckhead-atlanta-ga/,5,408,,,
Tier 1,"A Younger You Aesthetics | Med Spa – Powell, OH",Columbus,OH,(614) 553-7216,http://www.ayoungeryouohio.com/,5,408,,,
Tier 1,"The Woodruff Institute for Dermatology & Cosmetic Surgery",Naples,FL,(239) 307-4605,http://www.thewoodruffinstitute.com/,5,407,,,
Tier 1,"Artisan Beauté - Buckhead",Buckhead,GA,(770) 637-2919,https://artisanplasticsurgery.com/,5,404,,,
Tier 1,"PCH MedSpa",Newport Beach,CA,(949) 242-9166,https://pchmedspa.com/,5,404,,,
Tier 1,"Revive Med Spa - Mission Valley",San Diego,CA,(619) 393-3909,https://revive.md/locations/ca/missionvalley/?utm_campaign=MV&utm_medium=profile&utm_source=google,5,402,,,
Tier 1,"San Diego Aesthetics and Med Spa",San Diego,CA,(619) 303-0988,https://sdamedspa.com/?utm_source=gbp&utm_medium=organic,5,401,,,
